danh_muc,ten_mon,mo_ta,size,gia,tuy_chon_duong,tuy_chon_da,topping_co_san
Trà sữa classic,Trà sữa truyền thống,Trà đen pha sữa đặc béo ngậy,S (350ml),29000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa truyền thống,Trà đen pha sữa đặc béo ngậy,M (500ml),35000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa truyền thống,Trà đen pha sữa đặc béo ngậy,L (700ml),42000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa matcha,Matcha Nhật kết hợp sữa tươi,S (350ml),32000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa matcha,Matcha Nhật kết hợp sữa tươi,M (500ml),38000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa matcha,Matcha Nhật kết hợp sữa tươi,L (700ml),45000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa khoai môn,Khoai môn tím thơm béo,S (350ml),32000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa khoai môn,Khoai môn tím thơm béo,M (500ml),38000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa khoai môn,Khoai môn tím thơm béo,L (700ml),45000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa dâu,Dâu tây tươi kết hợp sữa,S (350ml),33000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa dâu,Dâu tây tươi kết hợp sữa,M (500ml),39000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa dâu,Dâu tây tươi kết hợp sữa,L (700ml),46000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà trái cây,Trà đào cam sả,Thanh mát giải khát,S (350ml),30000,0%/30%/50%/70%/100%,Ít đá/Bình thường/Nhiều đá,"Thạch trái cây +7k, Hạt chia +8k, Nata de coco +7k"
Trà trái cây,Trà đào cam sả,Thanh mát giải khát,M (500ml),36000,0%/30%/50%/70%/100%,Ít đá/Bình thường/Nhiều đá,"Thạch trái cây +7k, Hạt chia +8k, Nata de coco +7k"
Trà trái cây,Trà đào cam sả,Thanh mát giải khát,L (700ml),43000,0%/30%/50%/70%/100%,Ít đá/Bình thường/Nhiều đá,"Thạch trái cây +7k, Hạt chia +8k, Nata de coco +7k"
Trà trái cây,Trà vải nhãn,Vải nhãn tươi ngọt dịu,S (350ml),30000,0%/30%/50%/70%/100%,Ít đá/Bình thường/Nhiều đá,"Thạch trái cây +7k, Hạt chia +8k, Nata de coco +7k"
Trà trái cây,Trà vải nhãn,Vải nhãn tươi ngọt dịu,M (500ml),36000,0%/30%/50%/70%/100%,Ít đá/Bình thường/Nhiều đá,"Thạch trái cây +7k, Hạt chia +8k, Nata de coco +7k"
Trà trái cây,Trà vải nhãn,Vải nhãn tươi ngọt dịu,L (700ml),43000,0%/30%/50%/70%/100%,Ít đá/Bình thường/Nhiều đá,"Thạch trái cây +7k, Hạt chia +8k, Nata de coco +7k"
Trà trái cây,Trà chanh leo,Chanh leo chua ngọt kích thích,S (350ml),31000,0%/30%/50%/70%/100%,Ít đá/Bình thường/Nhiều đá,"Thạch trái cây +7k, Hạt chia +8k, Nata de coco +7k"
Trà trái cây,Trà chanh leo,Chanh leo chua ngọt kích thích,M (500ml),37000,0%/30%/50%/70%/100%,Ít đá/Bình thường/Nhiều đá,"Thạch trái cây +7k, Hạt chia +8k, Nata de coco +7k"
Trà trái cây,Trà chanh leo,Chanh leo chua ngọt kích thích,L (700ml),44000,0%/30%/50%/70%/100%,Ít đá/Bình thường/Nhiều đá,"Thạch trái cây +7k, Hạt chia +8k, Nata de coco +7k"
Trà cheese,Trà xanh cheese,Trà xanh đậm phủ kem phô mai mặn béo,S (350ml),39000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường,"Không có thêm topping (đã có kem cheese)"
Trà cheese,Trà xanh cheese,Trà xanh đậm phủ kem phô mai mặn béo,M (500ml),45000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường,"Không có thêm topping (đã có kem cheese)"
Trà cheese,Trà xanh cheese,Trà xanh đậm phủ kem phô mai mặn béo,L (700ml),52000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường,"Không có thêm topping (đã có kem cheese)"
Trà cheese,Trà đen cheese,Trà đen đậm phủ kem phô mai mặn béo,S (350ml),39000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường,"Không có thêm topping (đã có kem cheese)"
Trà cheese,Trà đen cheese,Trà đen đậm phủ kem phô mai mặn béo,M (500ml),45000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường,"Không có thêm topping (đã có kem cheese)"
Trà cheese,Trà đen cheese,Trà đen đậm phủ kem phô mai mặn béo,L (700ml),52000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường,"Không có thêm topping (đã có kem cheese)"
Brown sugar,Trà sữa đường đen,Trân châu đường đen nấu tươi mỗi ngày,S (350ml),40000,Ngọt chuẩn/Ít ngọt,Không đá/Ít đá/Bình thường/Nhiều đá,"Pudding trứng +8k, Thạch phô mai +8k"
Brown sugar,Trà sữa đường đen,Trân châu đường đen nấu tươi mỗi ngày,M (500ml),47000,Ngọt chuẩn/Ít ngọt,Không đá/Ít đá/Bình thường/Nhiều đá,"Pudding trứng +8k, Thạch phô mai +8k"
Brown sugar,Trà sữa đường đen,Trân châu đường đen nấu tươi mỗi ngày,L (700ml),54000,Ngọt chuẩn/Ít ngọt,Không đá/Ít đá/Bình thường/Nhiều đá,"Pudding trứng +8k, Thạch phô mai +8k"
Brown sugar,Latte đường đen,Cà phê sữa đường nâu đặc trưng,M (500ml),45000,Ngọt chuẩn/Ít ngọt,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Pudding trứng +8k"
Brown sugar,Latte đường đen,Cà phê sữa đường nâu đặc trưng,L (700ml),52000,Ngọt chuẩn/Ít ngọt,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Pudding trứng +8k"
Đá xay,Matcha đá xay,Matcha Nhật xay kem béo thơm,M (500ml),49000,0%/30%/50%/70%/100%,Nhiều đá (cố định),"Trân châu đen +7k, Pudding trứng +8k"
Đá xay,Matcha đá xay,Matcha Nhật xay kem béo thơm,L (700ml),55000,0%/30%/50%/70%/100%,Nhiều đá (cố định),"Trân châu đen +7k, Pudding trứng +8k"
Đá xay,Socola đá xay,Socola Bỉ đậm xay kem béo,M (500ml),49000,0%/30%/50%/70%/100%,Nhiều đá (cố định),"Trân châu đen +7k, Pudding trứng +8k"
Đá xay,Socola đá xay,Socola Bỉ đậm xay kem béo,L (700ml),55000,0%/30%/50%/70%/100%,Nhiều đá (cố định),"Trân châu đen +7k, Pudding trứng +8k"
Đá xay,Dâu đá xay,Dâu tươi xay lạnh sảng khoái,M (500ml),48000,0%/30%/50%/70%/100%,Nhiều đá (cố định),"Thạch trái cây +7k, Nata de coco +7k"
Đá xay,Dâu đá xay,Dâu tươi xay lạnh sảng khoái,L (700ml),54000,0%/30%/50%/70%/100%,Nhiều đá (cố định),"Thạch trái cây +7k, Nata de coco +7k"
